"customer_id","first_name","last_name"
1,"Mary","Smith"
2,"Patricia","Johnson"
3,"Linda","Williams"
4,"Barbara","Jones"
5,"Elizabeth","Brown"
6,"Jennifer","Davis"
7,"Maria","Miller"
8,"Susan","Wilson"
9,"Margaret","Moore"
10,"Dorothy","Taylor"
11,"Lisa","Anderson"
12,"Nancy","Thomas"
13,"Karen","Jackson"
14,"Betty","White"
15,"Helen","Harris"
16,"Sandra","Martin"
17,"Donna","Thompson"
18,"Carol","Garcia"
19,"Ruth","Martinez"
20,"Sharon","Robinson"
21,"Michelle","Clark"
22,"Laura","Rodriguez"
23,"Sarah","Lewis"
24,"Kimberly","Lee"
25,"Deborah","Walker"
26,"Jessica","Hall"
27,"Shirley","Allen"
28,"Cynthia","Young"
29,"Angela","Hernandez"
30,"Melissa","King"
31,"Brenda","Wright"
32,"Amy","Lopez"
33,"Anna","Hill"
34,"Rebecca","Scott"
35,"Virginia","Green"
36,"Kathleen","Adams"
37,"Pamela","Baker"
38,"Martha","Gonzalez"
39,"Debra","Nelson"
40,"Amanda","Carter"
41,"Stephanie","Mitchell"
42,"Carolyn","Perez"
43,"Christine","Roberts"
44,"Marie","Turner"
45,"Janet","Phillips"
46,"Catherine","Campbell"
47,"Frances","Parker"
48,"Ann","Evans"
49,"Joyce","Edwards"
50,"Diane","Collins"
51,"Alice","Stewart"
52,"Julie","Sanchez"
53,"Heather","Morris"
54,"Teresa","Rogers"
55,"Doris","Reed"
56,"Gloria","Cook"
57,"Evelyn","Morgan"
58,"Jean","Bell"
59,"Cheryl","Murphy"
60,"Mildred","Bailey"
61,"Katherine","Rivera"
62,"Joan","Cooper"
63,"Ashley","Richardson"
64,"Judith","Cox"
65,"Rose","Howard"
66,"Janice","Ward"
67,"Kelly","Torres"
68,"Nicole","Peterson"
69,"Judy","Gray"
70,"Christina","Ramirez"
71,"Kathy","James"
72,"Theresa","Watson"
73,"Beverly","Brooks"
74,"Denise","Kelly"
75,"Tammy","Sanders"
76,"Irene","Price"
77,"Jane","Bennett"
78,"Lori","Wood"
79,"Rachel","Barnes"
80,"Marilyn","Ross"
81,"Andrea","Henderson"
82,"Kathryn","Coleman"
83,"Louise","Jenkins"
84,"Sara","Perry"
85,"Anne","Powell"
86,"Jacqueline","Long"
87,"Wanda","Patterson"
88,"Bonnie","Hughes"
89,"Julia","Flores"
90,"Ruby","Washington"
91,"Lois","Butler"
92,"Tina","Simmons"
93,"Phyllis","Foster"
94,"Norma","Gonzales"
95,"Paula","Bryant"
96,"Diana","Alexander"
97,"Annie","Russell"
98,"Lillian","Griffin"
99,"Emily","Diaz"
100,"Robin","Hayes"
101,"Peggy","Myers"
102,"Crystal","Ford"
103,"Gladys","Hamilton"
104,"Rita","Graham"
105,"Dawn","Sullivan"
106,"Connie","Wallace"
107,"Florence","Woods"
108,"Tracy","Cole"
109,"Edna","West"
110,"Tiffany","Jordan"
111,"Carmen","Owens"
112,"Rosa","Reynolds"
113,"Cindy","Fisher"
114,"Grace","Ellis"
115,"Wendy","Harrison"
116,"Victoria","Gibson"
117,"Edith","Mcdonald"
118,"Kim","Cruz"
119,"Sherry","Marshall"
120,"Sylvia","Ortiz"
121,"Josephine","Gomez"
122,"Thelma","Murray"
123,"Shannon","Freeman"
124,"Sheila","Wells"
125,"Ethel","Webb"
126,"Ellen","Simpson"
127,"Elaine","Stevens"
128,"Marjorie","Tucker"
129,"Carrie","Porter"
130,"Charlotte","Hunter"
131,"Monica","Hicks"
132,"Esther","Crawford"
133,"Pauline","Henry"
134,"Emma","Boyd"
135,"Juanita","Mason"
136,"Anita","Morales"
137,"Rhonda","Kennedy"
138,"Hazel","Warren"
139,"Amber","Dixon"
140,"Eva","Ramos"
141,"Debbie","Reyes"
142,"April","Burns"
143,"Leslie","Gordon"
144,"Clara","Shaw"
145,"Lucille","Holmes"
146,"Jamie","Rice"
147,"Joanne","Robertson"
148,"Eleanor","Hunt"
149,"Valerie","Black"
150,"Danielle","Daniels"
151,"Megan","Palmer"
152,"Alicia","Mills"
153,"Suzanne","Nichols"
154,"Michele","Grant"
155,"Gail","Knight"
156,"Bertha","Ferguson"
157,"Darlene","Rose"
158,"Veronica","Stone"
159,"Jill","Hawkins"
160,"Erin","Dunn"
161,"Geraldine","Perkins"
162,"Lauren","Hudson"
163,"Cathy","Spencer"
164,"Joann","Gardner"
165,"Lorraine","Stephens"
166,"Lynn","Payne"
167,"Sally","Pierce"
168,"Regina","Berry"
169,"Erica","Matthews"
170,"Beatrice","Arnold"
171,"Dolores","Wagner"
172,"Bernice","Willis"
173,"Audrey","Ray"
174,"Yvonne","Watkins"
175,"Annette","Olson"
176,"June","Carroll"
177,"Samantha","Duncan"
178,"Marion","Snyder"
179,"Dana","Hart"
180,"Stacy","Cunningham"
181,"Ana","Bradley"
182,"Renee","Lane"
183,"Ida","Andrews"
184,"Vivian","Ruiz"
185,"Roberta","Harper"
186,"Holly","Fox"
187,"Brittany","Riley"
188,"Melanie","Armstrong"
189,"Loretta","Carpenter"
190,"Yolanda","Weaver"
191,"Jeanette","Greene"
192,"Laurie","Lawrence"
193,"Katie","Elliott"
194,"Kristen","Chavez"
195,"Vanessa","Sims"
196,"Alma","Austin"
197,"Sue","Peters"
198,"Elsie","Kelley"
199,"Beth","Franklin"
200,"Jeanne","Lawson"
201,"Vicki","Fields"
202,"Carla","Gutierrez"
203,"Tara","Ryan"
204,"Rosemary","Schmidt"
205,"Eileen","Carr"
206,"Terri","Vasquez"
207,"Gertrude","Castillo"
208,"Lucy","Wheeler"
209,"Tonya","Chapman"
210,"Ella","Oliver"
211,"Stacey","Montgomery"
212,"Wilma","Richards"
213,"Gina","Williamson"
214,"Kristin","Johnston"
215,"Jessie","Banks"
216,"Natalie","Meyer"
217,"Agnes","Bishop"
218,"Vera","Mccoy"
219,"Willie","Howell"
220,"Charlene","Alvarez"
221,"Bessie","Morrison"
222,"Delores","Hansen"
223,"Melinda","Fernandez"
224,"Pearl","Garza"
225,"Arlene","Harvey"
226,"Maureen","Little"
227,"Colleen","Burton"
228,"Allison","Stanley"
229,"Tamara","Nguyen"
230,"Joy","George"
231,"Georgia","Jacobs"
232,"Constance","Reid"
233,"Lillie","Kim"
234,"Claudia","Fuller"
235,"Jackie","Lynch"
236,"Marcia","Dean"
237,"Tanya","Gilbert"
238,"Nellie","Garrett"
239,"Minnie","Romero"
240,"Marlene","Welch"
241,"Heidi","Larson"
242,"Glenda","Frazier"
243,"Lydia","Burke"
244,"Viola","Hanson"
245,"Courtney","Day"
246,"Marian","Mendoza"
247,"Stella","Moreno"
248,"Caroline","Bowman"
249,"Dora","Medina"
250,"Jo","Fowler"
251,"Vickie","Brewer"
252,"Mattie","Hoffman"
253,"Terry","Carlson"
254,"Maxine","Silva"
255,"Irma","Pearson"
256,"Mabel","Holland"
257,"Marsha","Douglas"
258,"Myrtle","Fleming"
259,"Lena","Jensen"
260,"Christy","Vargas"
261,"Deanna","Byrd"
262,"Patsy","Davidson"
263,"Hilda","Hopkins"
